time,hurs,mrsos,evspsbl
20210.5,73.24256,--,5.32E-05
20241,78.92511,--,4.81E-05
20271.5,70.10271,--,6.45E-05
20302.5,69.348495,--,5.81E-05
20333,72.92857,--,4.96E-05
20363.5,75.7086,--,4.28E-05
20394,74.14133,--,4.34E-05
20424.5,78.249054,--,5.68E-05
20455.5,75.654816,--,6.02E-05
20485,78.9496,--,6.34E-05
20514.5,77.76468,--,5.65E-05
20545,74.78502,--,6.11E-05
20575.5,76.70388,--,5.12E-05
20606,73.77382,--,6.25E-05
20636.5,72.422134,--,5.23E-05
20667.5,75.95089,--,4.12E-05
20698,73.768265,--,3.95E-05
20728.5,76.20086,--,4.12E-05
20759,73.54621,--,5.13E-05
20789.5,77.4821,--,5.19E-05
20820.5,77.08228,--,6.10E-05
20850,78.00579,--,8.00E-05
20879.5,80.55016,--,5.93E-05
20910,77.6675,--,5.08E-05
20940.5,74.68129,--,5.75E-05
20971,73.594574,--,4.77E-05
21001.5,71.12757,--,5.93E-05
21032.5,68.176575,--,5.91E-05
21063,73.37392,--,5.00E-05
21093.5,76.183105,--,4.27E-05
21124,75.38782,--,4.71E-05
21154.5,79.11289,--,4.36E-05
21185.5,75.928055,--,6.91E-05
21215,87.1017,--,4.32E-05
21244.5,76.81616,--,7.33E-05
21275,78.519745,--,6.35E-05
21305.5,70.37036,--,5.16E-05
21336,72.523994,--,5.89E-05
21366.5,70.92338,--,6.15E-05
21397.5,75.57439,--,5.42E-05
21428,72.47734,--,5.69E-05
21458.5,71.495895,--,4.89E-05
21489,76.92735,--,3.65E-05
21519.5,77.27458,--,5.55E-05
21550.5,78.85627,--,6.96E-05
21580,78.14818,--,7.64E-05
21609.5,80.54882,--,6.11E-05
21640,80.054,--,4.34E-05
21670.5,75.35006,--,4.97E-05
21701,77.16503,--,4.96E-05
21731.5,72.53374,--,6.89E-05
21762.5,71.94805,--,7.06E-05
21793,73.194305,--,5.88E-05
21823.5,76.18228,--,3.89E-05
21854,75.665054,--,5.12E-05
21884.5,79.84314,--,4.49E-05
